user_idx,genre,content_id,similarity,is_home,is_drama,is_movie
541,공포/스릴러,cjc|M4840931LSGJ44640701,0.945229846,1,0,0
541,공포/스릴러,cjc|M4756521LSGI39519901,0.912787163,1,0,0
541,공포/스릴러,cjc|M5023612LSVI89692101,0.909713958,1,0,0
541,공포/스릴러,cjc|M5153083LFOL44235301,0.909498347,1,0,0
541,공포/스릴러,cjc|M4859862LSGF01279601,0.903878599,1,0,0
541,공포/스릴러,cjc|M5128562LSGK81325701,0.896924179,1,0,0
541,공포/스릴러,cjc|M4721640LSVI78795301,0.894701861,1,0,0
541,공포/스릴러,cjc|M4514465LSGK80534401,0.894648015,1,0,0
541,애니메이션,cjc|M4884072LSGI44638301,0.90485652,1,0,0
541,애니메이션,cjc|M4723163LSGD91988801,0.89618814,1,0,0
541,애니메이션,cjc|M5018432LSGL57068001,0.889991883,1,0,0
541,애니메이션,cjc|M5154093LSVL48682401,0.886885881,1,0,0
541,애니메이션,cjc|M4686774LSVB17390601,0.881918553,1,0,0
541,애니메이션,cjc|M5210474LSGN22997801,0.870537452,1,0,0
541,애니메이션,cjc|M5139812LSGL04840101,0.863856507,1,0,0
541,애니메이션,cjc|M5013647LSGI86238801,0.862115549,1,0,0
541,애니메이션,cjc|M5095204LSGK66003101,0.851788955,1,0,0
541,애니메이션,cjc|M4931231LSGG62332101,0.851541433,1,0,0
541,로맨스,cjc|M4883773LSVF49552201,0.92970682,1,0,0
541,로맨스,cjc|M4966002LSVH60560001,0.922424191,1,0,0
541,로맨스,cjc|M5214242LSVN17740201,0.9186082,1,0,0
541,로맨스,cjc|M4991854LSVI19340601,0.905125472,1,0,0
541,로맨스,cjc|M5053343LSGJ57257201,0.892828212,1,0,0
541,로맨스,cjc|M4760931LSGI39520401,0.883220364,1,0,0
541,로맨스,cjc|M4974635LSVH83764801,0.880829317,1,0,0
541,SF/판타지,cjc|M0370498LSG229656101,0.965882508,1,0,0
541,SF/판타지,cjc|M4406832LSG594524301,0.947638889,1,0,0
541,SF/판타지,cjc|M0415373LSGJ15193501,0.918141387,1,0,0
541,SF/판타지,cjc|M5126631LSVK72710101,0.879075548,1,0,0
541,SF/판타지,cjc|M4308597LSG714242101,0.843391303,1,0,0
541,SF/판타지,cjc|M4396939LSG574091501,0.828412589,1,0,0
541,SF/판타지,cjc|M4949951LSGI39301701,0.817101825,1,0,0
541,SF/판타지,cjc|M4486470LSGJ93537901,0.789264162,1,0,0
541,SF/판타지,cjc|M4243778LSG408747301,0.784188828,1,0,0
541,액션/무협,cjc|M5086741LSVK50722901,0.951809496,1,0,0
541,액션/무협,cjc|M5046031LSGJ40267501,0.922626078,1,0,0
541,액션/무협,cjc|M5003472LSVI42890801,0.921834512,1,0,0
541,액션/무협,cjc|M4693656LSGB76779801,0.921401819,1,0,0
541,액션/무협,cjc|M5045238LSVJ49554501,0.921104991,1,0,0
541,액션/무협,cjc|M4615606LSVI38227301,0.916196559,1,0,0
541,액션/무협,cjc|M4988067LSVI12501801,0.913007424,1,0,0
541,액션/무협,cjc|M4961696LSVH60292001,0.90839874,1,0,0
541,액션/무협,cjc|M4820824LSGE75542101,0.905225005,1,0,0
541,교육/학습,cjc|M4670579LFOL15993401,0.699571865,1,0,0
541,교육/학습,cjc|M5027835LFOJ01220301,0.629421874,1,0,0
541,교육/학습,cjc|M5027600LFOJ01172801,0.562578132,1,0,0
541,교육/학습,cjc|M4304573LSGK38761701,0.504549818,1,0,0
541,교육/학습,cjc|M4382206LSGG38163701,0.433945829,1,0,0
541,교육/학습,cjc|M4311880LSGK60808001,0.416433592,1,0,0
541,교육/학습,cjc|M4335785LFOK72305801,0.409522364,1,0,0
541,교육/학습,cjc|M4336084LFOK76728701,0.352860081,1,0,0
541,교육/학습,cjc|M4663198LSGL06611801,0.329443939,1,0,0
