user_id,idx,rank,score,super_asset_nm,unique_asset_id,is_movie,is_drama,created,smry,new_genre,new_poster_path
436971,306397,29,0.2,비밀의 집,T20220407083613,0,1,20220501091133,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2022/M_T60439G-Vertical_LogoY.jpg
436971,211448,30,0.2,럭키 몬스터,T20201218067680,1,1,20220125012326,"거액의 사채 빚을 진 남자 도맹수. 사채업자들에게 쫓기던 그는 아내를 지키기 위해 위장이혼을 한다. 하지만 이혼하자마자 거액의 복권에 당첨되는 행운이 찾아오고, 그는 헤어진 아내를 다시 찾아나선다.",드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000134963-Vertical_LogoY.jpg
436971,426637,31,0.4,원 레인저,T20231012102090,1,0,20231106001848,런던 중심부 한복판에서 벌어지는 테러범과의 논스톱 액션!,액션/무협,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202310/1697613683742243363.jpg
436971,356519,32,0.4,작은 연못.,T20221104090572,1,0,20230214022827,샌프란시스코 한인회에서의 갈등 양상을 다룬 다큐멘터리 영화.,다큐/교양,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C901_SG0000150918-Vertical_LogoY.jpg
436971,219636,33,0.3,제41회 청룡영화상,T20210205069241,1,0,20220227111337,"지난 1년의 한국 영화계를 총결산하는 영화 축제, 제41회 청룡영화상.",예능/오락,https://image.wavve.com/v1/thumbnails/480_720_20_80/202102/20210205/514029d57814d00605a08b3f94d45b31.jpg
436971,333392,34,0.3,다코타,T20220809087764,1,1,20221211004812,군견 다코타와 앨릭스 모녀에게 일어나는 일을 다룬 영화.,드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_CG01_NU0000011787-Vertical_LogoY.jpg
436971,209070,35,0.3,궁궐에서,T20201203067247,1,1,20220104005630,"1. 덕수궁, 기억을 만나다 2. 경복궁, 그녀의 필름카메라 3. 창덕궁, 마지막 영화.",드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202409/1727334015634892892.jpg
436971,352229,36,0.2666666666666666,루팡의 딸 극장판,T20221020089917,1,0,20230304104320,도둑 가문 일원들의 갈등과 화해를 그린 판타지 액션 영화.,액션/무협,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_MC01_MC000000012-Vertical_LogoY.jpg
436971,366592,37,0.2666666666666666,에밀리: 범죄의 유혹,T20221227092168,1,1,20230323010802,미대를 졸업했지만 경미한 폭행 전과 때문에 변변한 직장을 구하지 못한 에밀리가 학자금 빚을 갚기 위해 범죄에 연루되면서 벌어지는 일을 다루고 있는 영화.,드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_CG01_NU0000011797-Vertical_LogoY.jpg
436971,274310,38,0.25,애프터 에브리씽,T20211118079047,1,0,20221225015551,암 투병 과정에서의 연인의 갈등을 통해 사랑과 이별을 그린 로맨스 영화.,로맨스,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_EN01_EN000000950-Vertical_LogoY.jpg
436971,373121,39,0.24,아메리칸 머더러,T20230126093016,1,0,20230331003608,실화를 바탕으로 미국 전역을 돌며 사기행각을 벌이다 살인까지 저지르고 FBI 10대 지명수배자가 된 제이슨 데릭 브라운의 이야기를 그린 영화.,공포/스릴러,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_CG01_NU0000011805-Vertical_LogoY.jpg
436971,309217,40,0.2333333333333333,아이스맨 레져렉션,T20220421083929,1,0,20220725010753,억울한 누명을 쓰고 죽음 위기에 처한 장군이 적들로부터 고향을 지키려 고군분투하는 시공초월 액션 영화.,액션/무협,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_SU01_SU0000000236-Vertical_LogoY.jpg
436971,150268,41,0.2235294117647059,배틀 래틀,T20191018053766,1,1,20211019002114,"형제와 같은 세 친구가 월남전에 참전한다. 치열한 전투에서 친구들이 하나씩 죽어 나가고 복수의 광기로 베트콩을 무차별 사살한다. 퇴역 후, 결국 심각한 전쟁 트라우마로 고통받으며 절망적으로 무장강도를 벌이는데...",드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_TW01_TW0000000406-Vertical_LogoY.jpg
436971,134953,42,0.2222222222222222,리볼트: 프리즈너 오브 워,T20190603049628,1,0,20200722003658,"기억을 잃어버린 군인, 보. 그는 폐허가 된 경찰서 철창 안에서 눈을 뜬다. 그 안에서 만난 의사 나디아와 함께 외계 로봇들의 공격 속에서 인류를 구하기 위한 전쟁을 시작한다.",액션/무협,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202407/1721714423925589314.jpg
436971,301587,43,0.2222222222222222,더 매니 세인츠 오브 뉴어크,T20220324083075,1,1,20220401154759,누적되어온 인종차별에 대한 불만이 폭발했던 1976년 뉴어크 폭동을 배경으로 훗날 마피아 패밀리의 보스가 되는 십 대 시절의 토니 소프라노의 이야기.,드라마,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1200px-No-Image-Placeholder.svg.png
436971,335093,44,0.22,라스트 선,T20220816087924,1,0,20230301102442,샤이엔족 말살이라는 추악한 임무들로 인해 당대 최악의 살인마가 된 아이작 르메이. 혈육에 얽힌 저주 때문에 죽을 위기에 놓인 그는 살기 위한 일생일대의 살인 계획을 진행하는데...,액션/무협,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202402/1708492311702851932.jpg
436971,308065,45,0.2166666666666666,감자,1402260009,1,1,20220415135032,"18세의 시골 처녀 복녀는 20세 연상의 서 서방에게 80전에 팔려간다. 무능하고 게으른 서 서방 때문에 둘은 행랑살이에서 쫓겨나 빈민굴로 이사하고 복녀는 염전에서 일한다. 그녀는 염전 감독에게 강간 당한 후, 순수하던 모습을 바꾸고 세상 처세를 깨닫는데...",드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVProgram/2022/PRG_K02_T2021-0098-Vertical_LogoY.jpg
436971,352233,46,0.2153846153846153,성덕,T20221020089916,1,0,20221204005702,"10대 시절을 바쳤지만 스타에서 범죄자로 추락한 오빠! 좋아해서 행복했고 좋아해서 고통받는 실패한 덕후들을 찾아 나선 X성덕의 덕심 덕질기를 담은, 2022년 실패 없을 올해의 최애작!",다큐/교양,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1200px-No-Image-Placeholder.svg.png
436971,44073,47,0.2153846153846153,환상의 빛,T20160720015987,1,1,20210723131321,"학창 시절 행방불명 된 할머니의 기억으로부터 자유롭지 못한 유미코는 동네에서 함께 자란 이쿠오와의 결혼 후 갓 태어난 아기를 돌보며 소소한 행복 속에 살고 있다. 하지만 여느 때와 다름없었던 어느 날, 이쿠오의 자살은 평화롭던 유미코의 일상을 산산조각 내는데...",드라마,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202311/1700713045771593395.jpg
